Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
windowESCAdmin_color_adminPage_1_button,,UI,,,[FFFFFF]Admin Page 1[-],"[FFFFFF]Admin Page 1[-]",UI,"","","","","","","","","","","",""
windowESCAdmin_color_adminPage_1_title,,UI,,,Admin Page 1,"Admin Page 1",UI,"","","","","","","","","","","",""
windowESCAdmin_highvisibility_adminPage_1_body,,UI,,,Add admin-only body text for page 1 here.,"Add admin-only body text for page 1 here.",UI,"","","","","","","","","","","",""
windowESCAdmin_highvisibility_adminPage_1_button,,UI,,,[FFFFFF]Admin Page 1[-],"[FFFFFF]Admin Page 1[-]",UI,"","","","","","","","","","","",""
windowESCAdmin_highvisibility_adminPage_1_title,,UI,,,Admin Page 1,"Admin Page 1",UI,"","","","","","","","","","","",""
windowESC_join_Leave,,UI,,,Leave\nServer,"Leave\nServer",UI,"Server\nverlassen","Salir del\nservidor","Quitter le\nserveur","Esci dal\nserver","サーバーを\n退出","서버에서\n나가기","Opuść\nserwer","Sair do\nservidor","Покинуть\nсервер","Sunucudan\nAyrıl","离开\n服务器","離開\n伺服器"
windowESC_join_Spawn,,UI,,,Join\nServer,"Join\nServer",UI,"Server\nbeitreten","Unirse al\nservidor","Rejoindre le\nserveur","Entra nel\nserver","サーバーに\n参加","서버에\n참가","Dołącz do\nserwera","Entrar no\nservidor","Войти на\nсервер","Sunucuya\nKatıl","加入\n服务器","加入\n伺服器"
windowESC_options_screamer_tooltip_off,,UI,,,Hides the visual screamer alert.,"Hides the visual screamer alert.",UI,"Blendet die visuelle Schreier-Warnung aus.","Oculta la alerta visual de chilladora.","Masque l'alerte visuelle de hurleuse.","Nasconde l'avviso visivo strillatrice.","視覚的なスクリーマー警報を非表示にします。","시각적 스크리머 경보를 숨깁니다.","Ukrywa wizualny alarm krzykaczki.","Oculta o alerta visual de gritadora.","Скрывает визуальное предупреждение о крикуне.","Gorsel ciglikci alarmini gizler.","隐藏尖叫者视觉警报。","隱藏尖叫者視覺警報。"
windowESC_options_screamer_tooltip_on,,UI,,,Shows the visual screamer alert when screamers and screamer-spawned zombies are within 120m.,"Shows the visual screamer alert when screamers and screamer-spawned zombies are within 120m.",UI,"Zeigt die visuelle Schreier-Warnung, wenn sich Schreier oder von Schreiern gespawnte Zombies innerhalb von 120 m befinden.","Muestra la alerta visual de chilladora cuando hay chilladoras o zombis generados por chilladoras dentro de 120 m.","Affiche l'alerte visuelle de hurleuse lorsque des hurleuses ou des zombies invoques par des hurleuses sont dans un rayon de 120 m.","Mostra l'avviso visivo strillatrice quando strillatrici o zombie generati dalle strillatrici sono entro 120 m.","スクリーマーまたはスクリーマーがスポーンさせたゾンビが120m以内にいるとき、視覚的なスクリーマー警報を表示します。","스크리머 또는 스크리머가 생성한 좀비가 120m 이내에 있을 때 시각적 스크리머 경보를 표시합니다.","Pokazuje wizualny alarm krzykaczki, gdy krzykaczki lub zombie zrespione przez krzykaczki sa w zasiegu 120 m.","Mostra o alerta visual de gritadora quando gritadoras ou zumbis gerados por gritadoras estao dentro de 120 m.","Показывает визуальное предупреждение о крикуне, когда крикуны или зомби, призванные крикунами, находятся в радиусе 120 м.","Ciglikcilar veya ciglikcilarin cagdirdigi zombiler 120 m icindeyken gorsel ciglikci alarmini gosterir.","当120米内有尖叫者或由尖叫者召唤的丧尸时，显示尖叫者视觉警报。","當120米內有尖叫者或由尖叫者召喚的喪屍時，顯示尖叫者視覺警報。"
windowESC_options_screamer_tooltip_on_num,,UI,,,Shows the visual screamer alert plus the current number of screamers and screamer-spawned zombies within 120m.,"Shows the visual screamer alert plus the current number of screamers and screamer-spawned zombies within 120m.",UI,"Zeigt die visuelle Schreier-Warnung plus die aktuelle Anzahl von Schreiern und von Schreiern gespawnten Zombies innerhalb von 120 m.","Muestra la alerta visual de chilladora mas la cantidad actual de chilladoras y zombis generados por chilladoras dentro de 120 m.","Affiche l'alerte visuelle de hurleuse plus le nombre actuel de hurleuses et de zombies invoques par des hurleuses dans un rayon de 120 m.","Mostra l'avviso visivo strillatrice piu il numero attuale di strillatrici e zombie generati dalle strillatrici entro 120 m.","視覚的なスクリーマー警報に加えて、120m以内にいるスクリーマーとスクリーマーがスポーンさせたゾンビの現在数を表示します。","시각적 스크리머 경보와 함께 120m 이내의 스크리머 및 스크리머가 생성한 좀비의 현재 수를 표시합니다.","Pokazuje wizualny alarm krzykaczki plus biezaca liczbe krzykaczek i zombie zrespionych przez krzykaczki w zasiegu 120 m.","Mostra o alerta visual de gritadora mais a quantidade atual de gritadoras e zumbis gerados por gritadoras dentro de 120 m.","Показывает визуальное предупреждение о крикуне плюс текущее количество крикунов и зомби, призванных крикунами, в радиусе 120 м.","Gorsel ciglikci alarmini ve 120 m icindeki ciglikcilar ile ciglikcilarin cagdirdigi zombilerin guncel sayisini gosterir.","显示尖叫者视觉警报，并显示120米内尖叫者及由尖叫者召唤的丧尸当前数量。","顯示尖叫者視覺警報，並顯示120米內尖叫者及由尖叫者召喚的喪屍目前數量。"
windowESC_options_tracker_tooltip_off,,UI,,,Hides entity tracking on your compass.,"Hides entity tracking on your compass.",UI,"Blendet die Entitatenverfolgung auf deinem Kompass aus.","Oculta el seguimiento de entidades en tu brujula.","Masque le suivi des entites sur votre boussole.","Nasconde il tracciamento delle entita sulla bussola.","コンパス上のエンティティ追跡を非表示にします。","나침반에서 엔티티 추적을 숨깁니다.","Ukrywa sledzenie encji na kompasie.","Oculta o rastreamento de entidades na sua bussola.","Скрывает отслеживание сущностей на вашем компасе.","Pusulanizdaki varlik takibini gizler.","在指南针上隐藏实体追踪。","在指南針上隱藏實體追蹤。"
windowESC_options_tracker_tooltip_on,,UI,,,Shows entities on your compass within 20m.,"Shows entities on your compass within 20m.",UI,"Zeigt nahe Entitaten innerhalb von 20 m auf deinem Kompass an.","Muestra entidades cercanas en tu brujula dentro de 20 m.","Affiche les entites proches sur votre boussole dans un rayon de 20 m.","Mostra le entita vicine sulla bussola entro 20 m.","20m以内の近くのエンティティをコンパスに表示します。","20m 이내의 주변 엔티티를 나침반에 표시합니다.","Pokazuje pobliskie encje na kompasie w zasiegu 20 m.","Mostra entidades proximas na sua bussola em um raio de 20 m.","Показывает ближайшие сущности на вашем компасе в радиусе 20 м.","20 m icindeki yakin varliklari pusulanizda gosterir.","在指南针上显示20米范围内的附近实体。","在指南針上顯示20公尺範圍內的附近實體。"
